case,pa_x_cm,pa_y_cm,pa_z_cm,va_x_cms,va_y_cms,va_z_cms,pb_x_cm,pb_y_cm,pb_z_cm,vb_x_cms,vb_y_cms,vb_z_cms,safety_cm,horizon_ms,expected_risk,expected_tcpa_ms,expected_dcpa_cm,telemetry_a_hex,telemetry_b_hex
907,-11712,-4387,-12360,-721,1745,1898,17623,-5533,-13232,762,845,229,194,2631,0,,29370,d702010005000001038b000000000000ffffd240ffffeeddffffcfb8fd2f06d1076a3130,d702010005000002038b000000000000000044d7ffffea63ffffcc5002fa034d00e5a161
908,-14313,-18449,2895,-109,1331,262,-6218,2678,-8429,-1061,1844,321,628,13317,0,,25300,d702010005000001038c000000000000ffffc817ffffb7ef00000b4fff9305330106955b,d702010005000002038c000000000000ffffe7b600000a76ffffdf13fbdb073401413e15
909,3482,-13209,-9324,-1609,-390,-1261,-9906,12804,8490,1461,1511,-9,714,5724,0,,34252,d702010005000001038d00000000000000000d9affffcc67ffffdb94f9b7fe7afb13a36f,d702010005000002038d000000000000ffffd94e000032040000212a05b505e7fff7bdc8
910,-12764,-9146,-7414,-55,1171,666,5556,-7827,-11138,1878,1557,1132,195,5237,0,,18741,d702010005000001038e000000000000ffffce24ffffdc46ffffe30affc90493029abeb0,d702010005000002038e000000000000000015b4ffffe16dffffd47e07560615046ce646
911,-4770,2551,13450,-899,179,-660,-8512,-9502,-14948,-1814,1715,1096,622,3443,0,10343,17142,d702010005000001038f000000000000ffffed5e000009f70000348afc7d00b3fd6c9d7c,d702010005000002038f000000000000ffffdec0ffffdae2ffffc59cf8ea06b3044824a4
912,-19274,2855,-5552,1254,-1927,-1948,-4098,-7222,9363,655,-630,239,368,13223,0,,23543,d7020100050000010390000000000000ffffb4b600000b27ffffea5004e6f879f8642735,d7020100050000020390000000000000ffffeffeffffe3ca00002493028ffd8a00effe5c
913,15983,-9912,-19394,387,626,-733,-574,-10165,1734,959,-831,702,836,12144,0,,26843,d702010005000001039100000000000000003e6fffffd948ffffb43e01830272fd23209e,d7020100050000020391000000000000fffffdc2ffffd84b000006c603bffcc102be3828
914,-7203,5271,6258,-1706,-1970,-175,8403,8243,-3695,480,107,-475,661,4767,0,,18746,d7020100050000010392000000000000ffffe3dd0000149700001872f956f84eff512951,d7020100050000020392000000000000000020d300002033fffff19101e0006bfe25e56e
915,-18159,-19339,14422,1462,-1463,-608,-5007,-5566,-11772,1765,-305,-136,821,4116,0,,32385,d7020100050000010393000000000000ffffb911ffffb4750000385605b6fa49fda07eb5,d7020100050000020393000000000000ffffec71ffffea42ffffd20406e5fecfff788dbe
916,12160,-15097,5695,-1267,-756,-666,-16474,15776,-10562,472,644,787,323,11300,0,4255,43690,d702010005000001039400000000000000002f80ffffc5070000163ffb0dfd0cfd6680f8,d7020100050000020394000000000000ffffbfa600003da0ffffd6be01d802840313311c
917,2807,-16969,17013,-53,-689,571,-2422,-334,2652,358,318,1666,757,1568,0,471,22578,d702010005000001039500000000000000000af7ffffbdb700004275ffcbfd4f023b1d36,d7020100050000020395000000000000fffff68afffffeb200000a5c0166013e0682df2a
918,-2244,-18247,-3295,-500,926,1889,-8270,-2650,-17654,879,-1750,1651,527,4530,0,5113,15726,d7020100050000010396000000000000fffff73cffffb8b9fffff321fe0c039e0761e506,d7020100050000020396000000000000ffffdfb2fffff5a6ffffbb0a036ff92a06730fff
919,4561,2084,-19405,842,627,-1100,-16065,8961,19847,-1199,-207,387,795,11045,0,,44871,d7020100050000010397000000000000000011d100000824ffffb433034a0273fbb48725,d7020100050000020397000000000000ffffc13f0000230100004d87fb51ff310183c659
920,-17906,12893,14632,1359,1715,1112,-19264,11232,-921,397,513,1900,643,7644,0,2993,14822,d7020100050000010398000000000000ffffba0e0000325d00003928054f06b30458112d,d7020100050000020398000000000000ffffb4c000002be0fffffc67018d0201076cffcf
921,10135,-4296,-19219,363,-74,1453,-19414,-1654,-11832,-617,1236,1359,772,13811,0,,30572,d702010005000001039900000000000000002797ffffef38ffffb4ed016bffb605adc254,d7020100050000020399000000000000ffffb42afffff98affffd1c8fd9704d4054f5194
922,2368,-15524,5042,28,608,1177,-15421,8734,10692,-1918,187,-1406,987,8593,0,,30607,d702010005000001039a00000000000000000940ffffc35c000013b2001c02600499dfcd,d702010005000002039a000000000000ffffc3c30000221e000029c4f88200bbfa82fcd7
923,-3087,-13882,-5261,-313,-1759,820,-16900,-10538,3614,815,249,77,114,3694,0,2640,15489,d702010005000001039b000000000000fffff3f1ffffc9c6ffffeb73fec7f921033465e6,d702010005000002039b000000000000ffffbdfcffffd6d600000e1e032f00f9004d184d
924,1487,6622,19478,1993,728,-1428,-3657,-807,-7304,1088,-1210,-1284,613,14683,0,,28265,d702010005000001039c000000000000000005cf000019de00004c1607c902d8fa6c07f2,d702010005000002039c000000000000fffff1b7fffffcd9ffffe3780440fb46fafca2f4
925,-5619,11597,-17080,-769,-1792,-567,7974,-3759,-14026,-815,-269,1120,354,13593,0,3650,19001,d702010005000001039d000000000000ffffea0d00002d4dffffbd48fcfff900fdc9ee83,d702010005000002039d00000000000000001f26fffff151ffffc936fcd1fef30460f535
926,-8173,-4534,-17353,760,606,-79,-13247,10859,-9046,-893,1649,887,419,9094,0,,18212,d702010005000001039e000000000000ffffe013ffffee4affffbc3702f8025effb15e4e,d702010005000002039e000000000000ffffcc4100002a6bffffdcaafc8306710377aae7
927,-17544,3880,4487,-747,-161,-54,-17206,-17763,-9318,-1624,-1515,-1365,616,4602,0,,25673,d702010005000001039f000000000000ffffbb7800000f2800001187fd15ff5fffca1021,d702010005000002039f000000000000ffffbccaffffba9dffffdb9af9a8fa15faab6ce3
928,8537,-18134,-6362,1074,-1600,405,-7212,-1825,-9309,-1656,-374,384,313,1718,0,,22862,d70201000500000103a000000000000000002159ffffb92affffe7260432f9c001950baa,d70201000500000203a0000000000000ffffe3d4fffff8dfffffdba3f988fe8a01806d0e
929,-16283,-3698,14564,-1027,-625,-1225,15956,8746,17405,1297,1167,-597,489,4642,0,,34673,d70201000500000103a1000000000000ffffc065fffff18e000038e4fbfdfd8ffb373213,d70201000500000203a100000000000000003e540000222a000043fd0511048ffdabc45f
930,-2317,-4485,-6077,-29,191,1278,11484,266,-6584,1473,-1892,1998,781,12419,0,,14604,d70201000500000103a2000000000000fffff6f3ffffee7bffffe843ffe300bf04fee42c,d70201000500000203a200000000000000002cdc0000010affffe64805c1f89c07ce42e8
931,18926,8930,-7281,-1373,1108,612,16795,6443,-3443,-309,1889,1700,592,1275,0,12,5045,d70201000500000103a3000000000000000049ee000022e2ffffe38ffaa30454026470bc,d70201000500000203a30000000000000000419b0000192bfffff28dfecb076106a4c5e0
932,-19002,-7671,13946,1394,-573,-94,-14949,8892,-13844,1776,1759,1576,640,3036,0,745,32533,d70201000500000103a4000000000000ffffb5c6ffffe2090000367a0572fdc3ffa21954,d70201000500000203a4000000000000ffffc59b000022bcffffc9ec06f006df06285681
933,14674,18047,-8740,-28,-910,1199,12503,14424,5040,-689,1287,-1306,928,3889,0,3557,7857,d70201000500000103a5000000000000000039520000467fffffdddcffe4fc7204af5547,d70201000500000203a5000000000000000030d700003858000013b0fd4f0507fae6cbc3
934,13949,-11407,-13614,944,-74,-1033,-16761,3276,15965,-548,229,-1282,418,10192,0,,45095,d70201000500000103a60000000000000000367dffffd371ffffcad203b0ffb6fbf73ea1,d70201000500000203a6000000000000ffffbe8700000ccc00003e5dfddc00e5fafed21c
935,19738,10419,-9983,640,1740,233,-10851,8987,-16020,978,-111,-1373,233,7687,0,,31211,d70201000500000103a700000000000000004d1a000028b3ffffd901028006cc00e93ab5,d70201000500000203a7000000000000ffffd59d0000231bffffc16c03d2ff91faa3c2e8
936,7931,1100,17586,1906,-51,1611,-17014,-5465,17462,-835,-1338,-251,957,11043,0,,25794,d70201000500000103a800000000000000001efb0000044c000044b20772ffcd064b357f,d70201000500000203a8000000000000ffffbd8affffeaa700004436fcbdfac6ff058176
937,-9362,-19679,-14999,-52,-354,68,14908,-13286,-8600,-1366,1041,113,397,3477,0,6173,23039,d70201000500000103a9000000000000ffffdb6effffb321ffffc569ffccfe9e00442767,d70201000500000203a900000000000000003a3cffffcc1affffde68faaa04110071ee6c
938,12159,15716,-9722,1572,-1628,-1830,-9581,1539,-5347,1380,-1725,1578,659,12598,0,,26320,d70201000500000103aa00000000000000002f7f00003d64ffffda060624f9a4f8da65d9,d70201000500000203aa000000000000ffffda9300000603ffffeb1d0564f943062a51e7
939,-1577,-616,8601,247,-75,1905,-14446,-12109,-16471,-1663,-1468,867,326,1180,0,,30435,d70201000500000103ab000000000000fffff9d7fffffd980000219900f7ffb507719f02,d70201000500000203ab000000000000ffffc792ffffd0b3ffffbfa9f981fa4403637935
940,2040,17243,-476,-1785,-1454,1322,-10491,-3117,5956,1914,688,404,145,13435,0,5016,11492,d70201000500000103ac000000000000000007f80000435bfffffe24f907fa52052afb63,d70201000500000203ac000000000000ffffd705fffff3d300001744077a02b00194e05e
941,602,16289,16236,-1314,1883,-813,17640,-10285,15248,1988,-1587,817,928,14432,0,,31582,d70201000500000103ad0000000000000000025a00003fa100003f6cfade075bfcd3ed86,d70201000500000203ad000000000000000044e8ffffd7d300003b9007c4f9cd033122c0
942,-2612,-3594,-10419,-1302,-1088,-587,10348,-7741,6269,-1418,417,-1191,462,13412,0,6743,18532,d70201000500000103ae000000000000fffff5ccfffff1f6ffffd74dfaeafbc0fdb56ed1,d70201000500000203ae0000000000000000286cffffe1c30000187dfa7601a1fb5908d0
943,13982,3917,5403,-1433,584,1753,-11296,-13056,5449,1059,1788,-68,265,1152,0,7609,17077,d70201000500000103af0000000000000000369e00000f4d0000151bfa67024806d9a1f2,d70201000500000203af000000000000ffffd3e0ffffcd0000001549042306fcffbcf054
944,-9035,-10146,17644,230,1457,735,-4066,17376,-18979,1735,-1908,-1642,908,11995,0,,46080,d70201000500000103b0000000000000ffffdcb5ffffd85e000044ec00e605b102df9968,d70201000500000203b0000000000000fffff01e000043e0ffffb5dd06c7f88cf99661ba
945,6385,-10455,-2031,511,-1722,1673,15114,3832,-11636,1969,-1164,-339,619,1116,0,,19302,d70201000500000103b1000000000000000018f1ffffd729fffff81101fff94606898a06,d70201000500000203b100000000000000003b0a00000ef8ffffd28c07b1fb74feadb483
946,9641,4032,12046,95,-525,1423,-8866,4732,-6305,-427,1880,-51,860,2095,0,,26072,d70201000500000103b2000000000000000025a900000fc000002f0e005ffdf3058f9c39,d70201000500000203b2000000000000ffffdd5e0000127cffffe75ffe550758ffcdbb67
947,2107,18128,-13123,-598,-1642,1542,-6260,-19737,-3418,-1015,1019,1449,119,7274,0,13516,16464,d70201000500000103b30000000000000000083b000046d0ffffccbdfdaaf99606063eee,d70201000500000203b3000000000000ffffe78cffffb2e7fffff2a6fc0903fb05a946f3
948,2502,18255,-4366,1467,1823,1994,7764,8363,1981,1656,191,1616,382,12008,0,,12877,d70201000500000103b4000000000000000009c60000474fffffeef205bb071f07ca97ab,d70201000500000203b400000000000000001e54000020ab000007bd067800bf065048c9
949,-17745,6248,-3284,747,-1457,630,-8951,1230,-2365,-288,880,703,388,11376,0,3175,6118,d70201000500000103b5000000000000ffffbaaf00001868fffff32c02ebfa4f0276f2e4,d70201000500000203b5000000000000ffffdd09000004cefffff6c3fee0037002bfe257
950,-14406,11641,720,-583,-803,183,-1343,-19704,17120,529,-1656,-1184,262,8478,0,,37710,d70201000500000103b6000000000000ffffc7ba00002d79000002d0fdb9fcdd00b740c9,d70201000500000203b6000000000000fffffac1ffffb308000042e00211f988fb60f75e
951,7904,-17786,6155,-1892,60,182,1772,-12952,382,-1476,-307,226,277,13902,0,14786,5156,d70201000500000103b700000000000000001ee0ffffba860000180bf89c003c00b64cd4,d70201000500000203b7000000000000000006ecffffcd680000017efa3cfecd00e28ed9
952,-2384,5396,5152,-827,36,1411,-15290,-70,18627,1585,-1605,-1747,103,6066,0,3501,12306,d70201000500000103b8000000000000fffff6b00000151400001420fcc5002405838517,d70201000500000203b8000000000000ffffc446ffffffba000048c30631f9bbf92db801
953,-9522,-19788,-7176,571,-1335,-3,14209,-10770,-12191,-1719,1061,-1390,807,11231,0,1997,24862,d70201000500000103b9000000000000ffffdaceffffb2b4ffffe3f8023bfac9fffd77f2,d70201000500000203b900000000000000003781ffffd5eeffffd061f9490425fa92936f
954,-10683,6468,-16933,178,-409,842,2259,-2796,4115,-1003,-64,-364,632,1224,0,14778,6935,d70201000500000103ba000000000000ffffd64500001944ffffbddb00b2fe67034af67e,d70201000500000203ba000000000000000008d3fffff51400001013fc15ffc0fe94832b
955,10773,15673,-11979,1086,-871,1639,11921,3557,11974,-1243,1249,-572,455,8056,0,5492,16590,d70201000500000103bb00000000000000002a1500003d39ffffd135043efc99066717ab,d70201000500000203bb00000000000000002e9100000de500002ec6fb2504e1fdc44aeb
956,14939,1112,-15385,1973,692,-174,-13387,-5795,-14923,1286,1585,450,467,1456,0,,29159,d70201000500000103bc00000000000000003a5b00000458ffffc3e707b502b4ff52f51f,d70201000500000203bc000000000000ffffcbb5ffffe95dffffc5b50506063101c2104f
957,900,-18571,-4701,1719,-685,1554,-7982,8504,-10074,-375,-1903,1358,119,1139,0,2256,28473,d70201000500000103bd00000000000000000384ffffb775ffffeda306b7fd530612aae6,d70201000500000203bd000000000000ffffe0d200002138ffffd8a6fe89f891054e0a7a
958,-7958,19091,12454,-465,710,1968,-6197,-3335,1713,-1813,549,-223,608,12924,0,,24927,d70201000500000103be000000000000ffffe0ea00004a93000030a6fe2f02c607b07794,d70201000500000203be000000000000ffffe7cbfffff2f9000006b1f8eb0225ff2191ae
959,-14314,15946,-3462,610,1509,-1401,-15620,-2541,8668,-1592,-48,-1665,938,2538,0,,22149,d70201000500000103bf000000000000ffffc81600003e4afffff27a026205e5fa876e36,d70201000500000203bf000000000000ffffc2fcfffff613000021dcf9c8ffd0f97f804f
960,11951,8066,7792,-657,-1690,-1043,-7065,2421,9984,413,-128,-951,964,8447,0,8060,12838,d70201000500000103c000000000000000002eaf00001f8200001e70fd6ff966fbede97d,d70201000500000203c0000000000000ffffe4670000097500002700019dff80fc491bb3
961,-7596,-18045,-13383,-1493,17,1700,10316,-16210,3275,1439,-1230,-1287,506,8182,0,,24529,d70201000500000103c1000000000000ffffe254ffffb983ffffcbb9fa2b001106a434d3,d70201000500000203c10000000000000000284cffffc0ae00000ccb059ffb32faf9567a
962,4019,5885,-10022,936,-183,1182,16103,16704,-6376,417,-1800,-456,573,4107,0,5342,10840,d70201000500000103c200000000000000000fb3000016fdffffd8da03a8ff49049e8fd0,d70201000500000203c200000000000000003ee700004140ffffe71801a1f8f8fe382657
963,18585,-1528,12160,1004,-1370,1884,4894,-1022,2484,799,-20,405,111,8329,0,,16772,d70201000500000103c300000000000000004899fffffa0800002f8003ecfaa6075cb239,d70201000500000203c30000000000000000131efffffc02000009b4031fffec0195c879
964,-9048,6247,5134,1448,1642,486,-9849,-12841,-15731,-1343,1016,-655,954,4511,0,,28290,d70201000500000103c4000000000000ffffdca8000018670000140e05a8066a01e6097a,d70201000500000203c4000000000000ffffd987ffffcdd7ffffc28dfac103f8fd7183ea
965,-4316,-19527,2123,812,-1015,-1146,6775,4149,17880,220,-1674,512,286,11912,0,,30526,d70201000500000103c5000000000000ffffef24ffffb3b90000084b032cfc09fb869a12,d70201000500000203c500000000000000001a7700001035000045d800dcf9760200b9fa
966,-6855,-9269,-2263,-1885,811,-1815,-9014,-13011,-14548,-1384,1208,-955,394,4753,0,11437,4403,d70201000500000103c6000000000000ffffe539ffffdbcbfffff729f8a3032bf8e9326d,d70201000500000203c6000000000000ffffdccaffffcd2dffffc72cfa9804b8fc45a98b
967,-14876,-14421,11464,1334,496,-708,-16873,9297,-10974,1195,1887,-523,584,12450,0,,32710,d70201000500000103c7000000000000ffffc5e4ffffc7ab00002cc8053601f0fd3cbb27,d70201000500000203c7000000000000ffffbe1700002451ffffd52204ab075ffdf5fd73
968,-11413,15802,-7197,-1637,-1920,-35,14817,6296,-10866,1846,-707,896,992,7247,0,,28139,d70201000500000103c8000000000000ffffd36b00003dbaffffe3e3f99bf880ffdd39b9,d70201000500000203c8000000000000000039e100001898ffffd58e0736fd3d0380dc46
969,-2484,-16152,-1814,766,-969,-1951,4699,-11110,-2553,1581,701,311,384,4658,0,,8807,d70201000500000103c9000000000000fffff64cffffc0e8fffff8ea02fefc37f8613259,d70201000500000203c90000000000000000125bffffd49afffff607062d02bd0137fcf0
970,4408,-1603,10863,-986,-650,592,10329,-14876,5162,-527,-1046,1448,309,1635,0,,15611,d70201000500000103ca00000000000000001138fffff9bd00002a6ffc26fd76025080b7,d70201000500000203ca00000000000000002859ffffc5e40000142afdf1fbea05a8eab1
971,17751,-3967,4798,-1920,1672,-916,-7063,9417,-13719,90,-1920,115,153,14808,0,6500,19414,d70201000500000103cb00000000000000004557fffff081000012bef8800688fc6ce836,d70201000500000203cb000000000000ffffe469000024c9ffffca69005af880007309c8
972,6556,-19229,4847,-413,-1198,-1448,-10266,17762,9265,827,1190,1101,494,4749,0,,40875,d70201000500000103cc0000000000000000199cffffb4e3000012effe63fb52fa58e8bb,d70201000500000203cc000000000000ffffd7e60000456200002431033b04a6044dfa41
973,-3526,8736,14966,-220,-762,1219,14914,14205,-1519,-938,1265,-799,172,13722,0,,25331,d70201000500000103cd000000000000fffff23a0000222000003a76ff24fd0604c30007,d70201000500000203cd00000000000000003a420000377dfffffa11fc5604f1fce171f2
974,-18036,9170,-5768,-540,579,899,16463,-9590,2499,-502,537,817,679,11362,0,,40130,d70201000500000103ce000000000000ffffb98c000023d2ffffe978fde4024303838256,d70201000500000203ce0000000000000000404fffffda8a000009c3fe0a021903311dc6
975,-4217,-13345,-6146,-971,1905,-402,9156,-14206,11982,-1779,-1949,101,243,11131,0,,22543,d70201000500000103cf000000000000ffffef87ffffcbdfffffe7fefc350771fe6efe58,d70201000500000203cf000000000000000023c4ffffc88200002ecef90df863006527a7
976,14870,-661,11818,1382,1927,1190,18798,-4442,-10085,-1164,1088,-1360,703,12870,0,,22571,d70201000500000103d000000000000000003a16fffffd6b00002e2a0566078704a6cf96,d70201000500000203d00000000000000000496effffeea6ffffd89bfb740440fab0b68b
977,-1805,1203,-17481,1264,-1822,-427,-16877,-13462,9603,1720,-868,1080,494,2803,0,,34289,d70201000500000103d1000000000000fffff8f3000004b3ffffbbb704f0f8e2fe55d149,d70201000500000203d1000000000000ffffbe13ffffcb6a0000258306b8fc9c04389938
978,-3678,-7079,-7665,531,-270,-827,12282,-10581,5683,1702,-1553,324,416,3985,0,,21098,d70201000500000103d2000000000000fffff1a2ffffe459ffffe20f0213fef2fcc593f2,d70201000500000203d200000000000000002ffaffffd6ab0000163306a6f9ef01440615
979,5273,4914,-572,22,-20,-19,-15042,-19029,10252,960,1499,-676,928,5320,0,17281,4738,d70201000500000103d30000000000000000149900001332fffffdc40016ffecffed7af7,d70201000500000203d3000000000000ffffc53effffb5ab0000280c03c005dbfd5c5603
980,-14100,-6695,2563,844,-1698,-613,-5575,-17094,894,-608,-1261,-555,928,6395,0,7391,7602,d70201000500000103d4000000000000ffffc8ecffffe5d900000a03034cf95efd9b6a2c,d70201000500000203d4000000000000ffffea39ffffbd3a0000037efda0fb13fdd535a7
981,2085,-5429,-9137,582,-907,1050,-5991,-11897,14458,515,-891,-372,203,10978,0,16338,11079,d70201000500000103d500000000000000000825ffffeacbffffdc4f0246fc75041ac6b9,d70201000500000203d5000000000000ffffe899ffffd1870000387a0203fc85fe8cc50a
982,-14298,-9789,-19811,-168,-1705,-930,7193,11528,9439,-78,1615,-1016,460,7892,0,,42093,d70201000500000103d6000000000000ffffc826ffffd9c3ffffb29dff58f957fc5e34b1,d70201000500000203d600000000000000001c1900002d08000024dfffb2064ffc0882e1
983,7692,-5143,13505,-1116,1464,-122,-1786,8704,-15113,-857,-1060,327,132,5768,0,7569,26836,d70201000500000103d700000000000000001e0cffffebe9000034c1fba405b8ff868699,d70201000500000203d7000000000000fffff90600002200ffffc4f7fca7fbdc014716d2
984,6901,-4724,-16748,-1331,-680,1376,18056,-17116,-18370,-1910,1503,-835,914,4594,0,2996,13819,d70201000500000103d800000000000000001af5ffffed8cffffbe94facdfd580560ba8e,d70201000500000203d800000000000000004688ffffbd24ffffb83ef88a05dffcbd6738
985,18503,-19366,-15582,-1616,137,611,12525,17175,-15227,743,370,13,747,11004,0,970,36952,d70201000500000103d900000000000000004847ffffb45affffc322f9b0008902635be1,d70201000500000203d9000000000000000030ed00004317ffffc48502e70172000d6ab1
986,6057,-7342,-2585,97,-143,1392,12021,16136,-7316,-611,-945,-465,234,5234,0,3106,23766,d70201000500000103da000000000000000017a9ffffe352fffff5e70061ff710570262c,d70201000500000203da00000000000000002ef500003f08ffffe36cfd9dfc4ffe2fe64d
987,-19631,-2429,-9858,-1607,244,-143,-11913,7891,-15126,-1603,1342,-687,954,4202,0,,13921,d70201000500000103db000000000000ffffb351fffff683ffffd97ef9b900f4ff715d9c,d70201000500000203db000000000000ffffd17700001ed3ffffc4eaf9bd053efd51b996
988,-1960,-5827,-13491,1224,-542,-307,-7971,1709,17390,115,718,574,250,6953,0,,32350,d70201000500000103dc000000000000fffff858ffffe93dffffcb4d04c8fde2fecd3197,d70201000500000203dc000000000000ffffe0dd000006ad000043ee007302ce023ec8ea
989,3691,582,18611,265,-211,1529,16332,4309,-15466,988,994,-1061,623,9319,0,,36536,d70201000500000103dd00000000000000000e6b00000246000048b30109ff2d05f9a242,d70201000500000203dd00000000000000003fcc000010d5ffffc39603dc03e2fbdbd870
990,-10659,19717,12965,-1476,-533,-372,13873,-961,4911,-1524,-213,-1559,543,8016,0,,33079,d70201000500000103de000000000000ffffd65d00004d05000032a5fa3cfdebfe8c3a25,d70201000500000203de00000000000000003631fffffc3f0000132ffa0cff2bf9e92b5e
991,18016,-4253,-1812,-1018,-1834,1881,3603,-19029,-12980,106,-358,1905,829,13267,0,11119,11188,d70201000500000103df00000000000000004660ffffef63fffff8ecfc06f8d60759e7ab,d70201000500000203df00000000000000000e13ffffb5abffffcd4c006afe9a0771ee47
992,2200,8845,-10546,632,890,95,-7852,8687,-12010,1647,-1030,-51,951,12739,0,2044,9132,d70201000500000103e0000000000000000008980000228dffffd6ce0278037a005fbea0,d70201000500000203e0000000000000ffffe154000021efffffd116066ffbfaffcdc706
993,-7012,-14578,19016,-1377,-80,-1652,-15895,19296,4805,82,-171,1688,601,14823,0,4778,33539,d70201000500000103e1000000000000ffffe49cffffc70e00004a48fa9fffb0f98ca082,d70201000500000203e1000000000000ffffc1e900004b60000012c50052ff5506981ecb
994,11493,15684,-7171,681,-1755,349,-6213,-2187,-15554,1228,-631,924,548,1351,0,18272,8431,d70201000500000103e200000000000000002ce500003d44ffffe3fd02a9f925015d0f2d,d70201000500000203e2000000000000ffffe7bbfffff775ffffc33e04ccfd89039cb641
995,-11292,4973,-19595,-1169,-408,-1379,-3554,10770,-6604,752,1698,-1819,403,8782,0,,16194,d70201000500000103e3000000000000ffffd3e40000136dffffb375fb6ffe68fa9d5bed,d70201000500000203e3000000000000fffff21e00002a12ffffe63402f006a2f8e522dd
996,-18514,3945,7660,1580,-1424,-863,-6787,-14541,18590,-585,779,1377,536,1136,0,2860,21901,d70201000500000103e4000000000000ffffb7ae00000f6900001dec062cfa70fca1fa50,d70201000500000203e4000000000000ffffe57dffffc7330000489efdb7030b0561e416
997,11468,13874,2203,-710,-212,-677,12039,8350,1752,260,107,1350,102,4511,0,412,5492,d70201000500000103e500000000000000002ccc000036320000089bfd3aff2cfd5bc1e9,d70201000500000203e500000000000000002f070000209e000006d80104006b0546080e
998,13855,7699,-3758,269,-945,-1150,17266,-14896,-5303,-557,540,-591,974,7133,0,11636,9554,d70201000500000103e60000000000000000361f00001e13fffff152010dfc4ffb825948,d70201000500000203e600000000000000004372ffffc5d0ffffeb49fdd3021cfdb164cb
999,19655,-13817,-7816,-1243,580,-1388,-2093,-370,3628,1064,338,519,815,8655,0,3505,25961,d70201000500000103e700000000000000004cc7ffffca07ffffe178fb250244fa94628c,d70201000500000203e7000000000000fffff7d3fffffe8e00000e2c042801520207aba0
1000,-16655,-13886,18075,-884,418,612,-19258,8160,503,1750,-1886,1177,585,4637,0,5378,20931,d70201000500000103e8000000000000ffffbef1ffffc9c20000469bfc8c01a20264d117,d70201000500000203e8000000000000ffffb4c600001fe0000001f706d6f8a2049990c1
1001,-16045,10924,10978,1767,-682,889,18067,1061,1164,-1579,1056,1464,331,1665,0,9413,8271,d70201000500000103e9000000000000ffffc15300002aac00002ae206e7fd560379464e,d70201000500000203e900000000000000004693000004250000048cf9d5042005b8b281
1002,-17351,6246,19180,-1111,-529,-797,14472,-189,-10251,-1171,82,1659,937,6638,0,12190,31112,d70201000500000103ea000000000000ffffbc390000186600004aecfba9fdeffce3ea63,d70201000500000203ea00000000000000003888ffffff43ffffd7f5fb6d0052067b9f1a
1003,-705,18148,12363,-941,-1953,1740,3499,3129,-17043,-471,-964,457,530,14387,0,,33285,d70201000500000103eb000000000000fffffd3f000046e40000304bfc53f85f06cca990,d70201000500000203eb00000000000000000dab00000c39ffffbd6dfe29fc3c01c954a3
1004,11552,19987,8997,1360,-27,-704,-7368,-9644,-7620,325,795,-667,597,13861,0,3083,38671,d70201000500000103ec00000000000000002d2000004e13000023250550ffe5fd4026c3,d70201000500000203ec000000000000ffffe338ffffda54ffffe23c0145031bfd65f806
1005,-6398,-3466,12762,-1046,1764,-1735,9067,-16968,-19655,1807,436,382,856,12911,0,457,38331,d70201000500000103ed000000000000ffffe702fffff276000031dafbea06e4f9391ede,d70201000500000203ed0000000000000000236bffffbdb8ffffb339070f01b4017e7285
1006,-3020,15910,-6753,1891,857,-1370,10267,15374,-10008,652,-195,404,450,2789,0,3744,10309,d70201000500000103ee000000000000fffff43400003e26ffffe59f07630359faa68c48,d70201000500000203ee0000000000000000281b00003c0effffd8e8028cff3d0194d202
1007,8427,-3392,-9224,-1921,176,725,-16141,824,19012,1721,-1353,-1542,147,9241,0,7711,13616,d70201000500000103ef000000000000000020ebfffff2c0ffffdbf8f87f00b002d5422e,d70201000500000203ef000000000000ffffc0f30000033800004a4406b9fab7f9fac637
1008,-6971,-5788,-11580,-790,593,-1352,15242,-3597,-18756,-549,1699,53,855,12763,0,708,23411,d70201000500000103f0000000000000ffffe4c5ffffe964ffffd2c4fcea0251fab8e656,d70201000500000203f000000000000000003b8afffff1f3ffffb6bcfddb06a3003563fd
1009,17487,-14253,4125,1899,-1565,422,-3883,-9351,14575,607,-894,-25,591,12344,0,,24288,d70201000500000103f10000000000000000444fffffc8530000101d076bf9e301a6d577,d70201000500000203f1000000000000fffff0d5ffffdb79000038ef025ffc82ffe73c52
1010,15449,-15402,-18781,-616,-1647,-1187,12184,3361,5311,-1941,-458,1787,161,7860,0,,30710,d70201000500000103f200000000000000003c59ffffc3d6ffffb6a3fd98f991fb5d90a1,d70201000500000203f200000000000000002f9800000d21000014bff86bfe3606fba740
1011,18545,16027,-3906,-645,1462,-1502,17760,-12799,9164,1032,1293,1483,848,10477,0,,31660,d70201000500000103f30000000000000000487100003e9bfffff0befd7b05b6fa22ea53,d70201000500000203f300000000000000004560ffffce01000023cc0408050d05cbe5fa
1012,-13050,12637,-19593,1048,-391,1494,-12956,-9011,14159,1883,972,210,699,2948,0,17310,18662,d70201000500000103f4000000000000ffffcd060000315dffffb3770418fe7905d683e6,d70201000500000203f4000000000000ffffcd64ffffdccd0000374f075b03cc00d2db27
1013,10499,-16164,-13679,-850,1299,740,-17405,-19174,-2493,-622,1307,23,454,8117,0,25447,23371,d70201000500000103f500000000000000002903ffffc0dcffffca91fcae051302e45c3d,d70201000500000203f5000000000000ffffbc03ffffb51afffff643fd92051b00173717
